ALGUM COISA TENTAR	Vamos tentar alguma coisa!
RUA ESSE CENTRO O CIDADE LEVAR	Essa rua o levará ao centro da cidade.
MARY EU MUITOS NÓS HAVER ANOS HAVER CONHECER	Mary e eu nos conhecemos há muitos anos.
VOCÊ ISSO ARREPENDER PODER MAS BEM ISSO NENHUM LHE MOMENTO FAZER (NÃO)	Você pode se arrepender disso, mas isso não lhe fará nenhum bem no momento.
EU ACERCA ANSIOSO RESULTADOS EXAME	Eu estou ansioso acerca dos resultados do exame.
AQUI EU CHEGAR ACABAR	Eu acabei de chegar aqui.
ELE TIRAR CENOURAS NADA COMA HAVER (NÃO)	Tirando as cenouras, não há nada que ele não coma.
AGORA TOM VIOLINO TOCAR	Tom está tocando violino agora.
CIDADE VIVER ELE AGRADAR (NÃO)	A ela não agradava viver na cidade.
EU PACIÊNCIA NÃO_TER {NÃO}(headshake)	Eu não tenho paciência.
ELES TSUNEOKI IKEDA GOSTAR	Eles gostam de Tsuneoki Ikeda.
CASA ELE HONG KONG VER VOLTAR	Ele voltou para casa via Hong Kong.
OMELETES QUEBRAR OVOS FAZER PODER (NÃO)	Não se pode fazer omeletes sem quebrar os ovos.
PELO MENOS ESTE PENA LER LIVRO UMA VEZ ELE VALER	Vale a pena ler estes livros pelo menos uma vez.
ELE DIFÍCIL PASSADO DIA CIGARROS PASSADO ACHAR	Ele acha muito difícil passar um dia sem cigarros.
INTELIGENTE	Ela é muito inteligente.
ALGUM O ELE SENTIDO DIZER FAZER (NÃO)	O que ele está dizendo não faz sentido algum.
ENGAVETAMENTO RODOVIA HAVER	Houve um engavetamento na rodovia.
SÓ EU FICAR EU DELE FICAR ASSUSTAR PASSADO	Eu fico assustado só de passar por ele.
EIS NOVAS QUAIS (NÃO)	Ei, quais são as novas?
DEUS MUNDO CRIAR	Deus criou o mundo.
NÓS PARTE DISCUSSÃO TOMAR	Nós tomamos parte na discussão.
{HORAS RELÓGIO SEU}(q)	Que horas são no seu relógio?
CLARO NÓS EXPLICAÇÃO MISTÉRIO TER NUNCA NÃO	Nós nunca tivemos uma explicação clara do mistério.
MEU VOZ ROUCO CAUSA RESFRIADO	Minha voz está rouca por causa do resfriado.
ISSO VOCÊ	Isso é com você.
TANTO EU FAZER	Por mim tanto faz.
ISSO SUFICIENTE 5 DIA	Isso é suficiente para cinco dias.
EU O DELE DIZER ACONTECER	Diga-me o que aconteceu com ele.
ESPAÇO DÚVIDAS HAVER (NÃO)	Não há espaço para dúvidas.
TOM TIME FUTEBOL LIDERAR	Tom lidera o time de futebol.
CABEÇA JANELA SEU ELE AFASTAR	Ela afastou sua cabeça de uma janela.
TÃO RÍGIDO CRIANÇAS (NÃO)	Não seja tão rígido com as crianças.
BEM VERDE VOCÊ VESTIR	Verde veste bem em você.
ELE CHUVA BENEFICIAR	Ele se beneficiou com a chuva.
HOMEM PIEDADE ELE IMPLORAR MAS ANO SEU 20 CADEIA CRIME SENTENCIAR	O homem implorou por piedade, mas foi sentenciado a vinte anos de cadeia por seu crime.
FINAL CONTAS ELE TELEFONAR (NÃO)	Ela não telefonou no final de contas.
ELES SENSO ALGUM PECAMINOSIDADE (NÃO)	Eles não têm senso algum de pecaminosidade.
TIPOS ESTE LIVRO VALOR TER AINDA_{NÃO}(headshake)	Estes tipos de livro quase não têm valor.
SEMPRE ELE SEU PRESTO ATENÇÃO COMPORTAMENTO CRIANÇAS	Ele sempre presta atenção no comportamento de suas crianças.
ENTÃO CAPITÃO CONTA DELE TOMAR	Então o capitão tomou conta dele.
MULHER GAROTO CHEIA PESAR ELE OLHO OLHAR	Cheia de pesar, a garota olhou para ele nos olhos.
MEU ESSE AVÔ SEMANA VISITAR	Vamos visitar meu avô nessa semana.
MUNDO FIM SEU ENCONTRAR QUANDO (NÃO)	Quando o mundo encontrará seu fim?
EU PRECISAR ISSO FAZER ACHAR	Eu achei que precisava fazer isso.
ELE XÍCARA CAFÉ BEBER	Ele bebeu uma xícara de café.
{VOCÊ CAMISA PEQUENO TER}(q)	Você tem uma camisinha?
CHOVER	Está chovendo.
FRIO	Está frio.
FILME 2 HORA DURAR	O filme durou 2 horas.
INFELIZ EU TEMPO SEU DISCURSO CHEGAR (NÃO)	Infelizmente eu não cheguei a tempo para seu discurso.
VOCÊ SÓ IDADE SEU BANCAR DEVER	Na sua idade você deveria se bancar sozinho.
VOCÊ RESPONDER CARTA DELE RESPONDER DEVER	Você deveria ter respondido a carta dele.
NÓS ARTE ESCOLA PINTURA ESCULTURA IR ESTUDAR	Nós fomos para a escola de artes para estudar pintura e escultura.
AQUI PARADAS QUANTAS (NÃO)	Quantas paradas daqui?
VOCÊ TUDO FAZER	Muito obrigado por tudo que você tem feito.
ELE 2 MESA BANCO NÓS CONSTRUIR	Ele construiu uma mesa e dois bancos para nós.
NENHUM ALUNOS EXAME SEU PASSADO	Nenhum dos seus alunos passou no exame.
{CAMINHADA SEU ACOMPANHAR NÓS PODER}(q)	Podemos acompanhá-lo em sua caminhada?
EU MEU DEIXAR EU BOLSA TREM OCORRER	Me ocorre que eu deixei minha bolsa no trem.
LÁ EU 9 HORA CHEGAR DEVER	Eu devo chegar lá pelas 9 horas.
EU PASSAGEM VOLTA TÓQUIO TER	Eu tenho uma passagem de volta para Tóquio.
INJUSTO ELE TRATAR RECLAMAR	Ele reclamou por ter sido tratado injustamente.
CARONA SEU EU CARRO DAR	Me dê uma carona em seu carro.
BEM DO QUE CASA AQUELE MELHOR ESTA	Aquela casa é bem melhor do que esta.
NOVO ESCOLAR ANO ABRIL JAPÃO COMEÇAR	O novo ano escolar começa em abril no Japão.
ELE ASSALTO DETALHES INVESTIGAR	Ele investigou o assalto em detalhes.
ELE MEMÓRIA SEU PERDER	Ele perdeu sua memória.
PESSOA ESTE ORGULHOSAS LONDRES PONTE BASTANTE	As pessoas de Londres são bastante orgulhosas desta ponte.
SEMPRE FORÇA REINO INSETOS PREVALECER	A força sempre prevalece no reino dos insetos.
AQUI SURPRESO TU VER	Estou surpreso de te ver aqui.
PRÓXIMO CALCULAR OCEANO 50 VOLTA CENTÍMETRO FINAL SÉCULO AUMENTAR	Calcula-se que os oceanos aumentarão em 50 centímetros por volta do final do próximo século.
QUASE TODO ALUNOS INGLÊS GOSTAR	Quase todos os alunos gostam de inglês.
EU CANÇÃO CATIVANTE RITMO GOSTAR TER SOM DANÇAR ELE PODER	Eu gosto dessa canção; ela tem um ritmo cativante e pode-se dançar ao som dela.
PRÓPRIOS PESSOA TODO TEMPO SI EU FALAR ENTEDIAR	Pessoas que falam a todo tempo sobre si próprios me entediam.
LICENÇA SEÇÃO CALÇADOS MASCULINOS FICAR ONDE (NÃO)	Com licença, onde fica a seção de calçados masculinos?
{O VOCÊ OUTRO PLANETA HOMEM FAZER VER}(q)	O que você faria se visse um homem de outro planeta?
MULHER DISCÍPULO FREUD	Ela é uma discípula de Freud.
ELE ELE DESQUE ACIDENTE MAIS FERIR ANDAR PODER (NÃO)	Desde que ele se feriu em um acidente, ele não pôde mais andar.
ERRAR HUMANO PERDOAR	Errar é humano; perdoar é divino.
VOCÊ IMPACIENTE CRIANÇAS DEVER (NÃO)	Você não deveria ser impaciente com crianças.
COMIGO NERVOSO	Ela está nervosa comigo.
HABILIDADE CULINÁRIA SEU ELE ORGULHAR	Ela se orgulha de sua habilidade com culinária.
VOCÊ ADIVINHAR	Você adivinhou.
ELE PASSAGEM SHAKESPEARE LER	Ele leu uma passagem de Shakespeare.
ELE EU FICAR IMPLORAR	Ele me implorou para ficar.
DIA 5 ELE IR DEPOIS MULHER FILHO AEROPORTO MEU DEIXAR OSAKA A ALEMANHA GRADUAR	Foi cinco dias depois de ter graduado que minha filha deixou o aeroporto de Osaka para a Alemanha.
GRANDE MORTE MEU MÃE VAZIO VIDA MEU DEIXAR	A morte de minha mãe deixou um grande vazio em minha vida.
EU VOCÊ SEU PODER GRANDE MULHER FILHO CUIDADO PAIS DIZER DISPENDE	Eu posso dizer que você é uma filha que dispende grande cuidado por seus pais.
ELE BRINCAR OU ESCOLHA SEU	Brinque ou estude - a escolha é sua.
AUDIÊNCIA CONCERTO ELE TER MUITO	Havia uma grande audiência no concerto.
EU CESTA ENTREGAR EU ALGUÉM ESPERAR ABRIR CASA CHEGAR OLHAR SUGERIR	Ela me entregou a cesta e sugerir que eu esperasse até chegar em casa para abri-la, no caso de alguém estar olhando.
PARQUES AQUILO PULMÕES CIDADE ANIMAL	Parques são para a cidade aquilo que pulmões são para o animal.
NOME ESTE FAVOR RUA QUAL (NÃO)	Qual é o nome desta rua, por favor?
EU PECADO MEU CONFESSAR	Eu confessei meu pecado.
ORGULHOSO FILHO FATO DOUTOR SEU TORNAR	Ela está orgulhosa do fato que seu filho se tornou um doutor.
{O ELE}(q)	O que é isto?
EU TEMPO TER ISSO NÃO_SABER {NÃO}(headshake)	Eu não sei se tenho tempo para isso.
MAIORIA EU PESSOA ACHAR LOUCO	A maioria das pessoas acham que eu sou louco.
SE EU EU LHE SABER ISSO CONTAR	Se eu soubesse disso, eu teria lhe contado.
EU VISTO HAVER (NÃO)	Eu não havia a visto.
ESTRANHO MAYUKO SONHO SONHAR	Mayuko sonhou um sonho estranho.
ELE PALAVRA SEU MANTER NUNCA NÃO	Ele nunca mantém sua palavra.
FORA VIAGEM AMÉRICA COGITAÇÃO	Uma viagem à América está fora de cogitação.
AMANHÃ TU VER BIBLIOTECA	Te vejo amanhã na biblioteca!
VOCÊ TER BOM VIAGEM ESPERAR	Espero que você tenha uma boa viagem.
RECLUSO ELE JOHNSON NOSSO PREFERIR RESTO ALUNOS CLASSE ISOLAR	Johnson é um recluso; ele prefere se isolar do resto dos alunos de nossa classe.
EU ISSO GOSTAR (NÃO)	Eu não gostava disso.
CHOVER MAS FORA EU IR GOSTAR	Está chovendo, mas eu gostaria de ir para fora.
ELES BRIGAR	Eles brigaram.
{VOCÊ GORJETA DEIXAR}(q)	Você deixou gorjeta?
EU MEDO SEU LHE VERDADE SENTIMENTOS CONTAR FERIR (NÃO)	Eu não lhe contei a verdade com medo de ferir seus sentimentos.
MESMO CATÓLICO COMO SIMBÓLICO PESSOA IGREJA PAPA AUTORIDADE VENERAR CREEM (NÃO)	Mesmo as pessoas que não creem na igreja católica veneram o papa como autoridade simbólica.
DESEMPREGAR ISSO NADA POUPAR EU PODER (NÃO)	Estou desempregado, e por isso não posso poupar nada.
ISTO É EU VOCÊ	Isto é entre mim e você.
TÃO FALANTE ELE IR	Ele está tão falante quanto sempre foi.
EU LAMENTAR MATRÍCULA SEU NEGAR INFORMAR	Eu lamento informá-lo que sua matrícula foi negada.
POSITIVO ELE RESPOSTA QUESTÃO MEU DAR	Ele deu uma resposta positiva à minha questão.
VOCÊ DESCULPAR QUANDO O	Você terá que se desculpar quando vê-lo.
VERGONHOSO	Que vergonhoso!
NENHUM ÔNIBUS SHINJUKU IR	Nenhum desses ônibus vai para Shinjuku.
ELE EU PRECISAR IR DIZER	Ele disse que eu precisava ir.
NERVOSO ELE FICAR (NÃO)	Não fique nervoso.
ACERCAR CONHECIMENTO PROBLEMA NOSSO BASTANTE LIMITAR	Nosso conhecimento acerca do problema é bastante limitado.
TÃO NADA PRECIOSO SAÚDE	Nada é tão precioso quanto a saúde.
EU DRINQUE PARIR PEDIR EU IR MESMO VOCÊ PEGAR	Pare de me pedir um drinque! Vá e pegue um você mesmo.
QUANTO MAIS DIFÍCIL APRENDER LÍNGUA MAIS IR	Quanto mais velho você for, mais difícil é para aprender uma língua.
ELES ESTE MANHÃ CAFÉ 8 SEMANA TOMAR	Eles estão tomando café da manhã às 8 nesta semana.
CERCA JÁ QUE EU TREM HORA ESPERAR OUTRO PERDER	Já que eu perdi o trem, eu tive que esperar pelo outro por cerca de uma hora.
EU O CONHECER QUANDO EU ESTUDANTE	Eu o conheci quando eu era estudante.
EU ESTE PRESENTE ACEITAR PODER (NÃO)	Eu não posso aceitar este presente.
TÃO ELE RAPIDAMENTE CANSAR ADORMECER	Estando tão cansado, ele adormeceu rapidamente.
EU BIOLOGIA GOSTAR (NÃO)	Eu jamais gostei de biologia.
AGORA SUPERMERCADOS FECHAR PORTANTO NÓS NÓS O GELADEIRA VIRAR TER RESTAR	Os supermercados estão fechados agora, portanto nós teremos que nos virar com o que resta na geladeira.
VOCÊ ELE SEGREDO MANTER DEVER	Você deveria ter mantido isto em segredo.
QUANDO EU EU CRESCER QUERER REIR	Quando eu crescer eu quero ser rei.
VOCÊ CERTEZA TER	Você tem certeza.
EU CANSAR	Eu estou cansado.
AGORA MUIRIEL 20 ANO TER	Muiriel tem 20 anos agora.
ELE DINHEIRO POUCO TER TER	Ele tem pouco dinheiro consigo.
REAL ISSO PROBLEMA	Isso é realmente um problema.
VOCÊ ENTRELINHAS LER DEVER	Você deve ler nas entrelinhas.
LOGO EU VOLTAR	Volto logo.
MAIORIA COMPUTADORES PESSOA ACHAR CAPAZES PENSAR NUNCA NÃO	A maioria das pessoas acha que computadores nunca serão capazes de pensar.
JOHN MARY 1976 CONHECER	John e Mary se conhecem desde 1976.
DO QUE EU BASEBOL NADA TV MAIS FAZER ASSISTIR GOSTAR HAVER (NÃO)	Não há nada que eu goste mais de fazer do que assistir jogos de basebol na TV.
ELA DEVER PEGAR DIZER	Diga a ela qual ela deve pegar.
{O ISSO TONY PERGUNTAR}(q)	O que é isso? Perguntou Tony.
EU FAVOR SAL FAZER PASSADO	Faça-me o favor de passar o sal.
ELEVADOR CAPAZ ESTE PESSOA VEZ 10 CARREGAR	Este elevador é capaz de carregar 10 pessoas por vez.
EU OS TELEFONAR QUANDO AMANHÃ VOLTAR	Eu os telefonarei quando voltar amanhã.
MULHER MENINO PORTA CHORAR ABRIR	Uma menina chorando abriu a porta.
A BOB 6 PÉNI DOIS LEMBRAR	Bob a lembra: "6 pence por segundo".
SEMPRE PIANO PRATICAR	Ela estava sempre praticando piano.
EU PARIS ESTUDAR GOSTAR	Eu gostaria de estudar em Paris.
ELE IDADE MORRER AVANÇAR	Ele morreu em idade avançada.
EU BENS MEU RECUPERAR GOSTAR	Eu gostaria de recuperar meus bens.
SE VOCÊ EU MULHER GUARDA CHUVA LHE PRECISAR EMPRESTAR	Se você precisar de um guarda-chuva, eu lhe empresto um.
EU CHEQUE PAGAR IR	Eu irei pagar com cheque.
{REAL VOCÊ RESPOSTA PERGUNTAR SABER PRECISAR}(q)	Você realmente precisa perguntar pra saber a resposta?
NOVAMENTE AH ELES ENCONTRAR QUANDO (NÃO)	Ah, quando eles se encontrarão novamente?
ÔNIBUS AEROPORTO PARTIR ONDE (NÃO)	De onde partirão os ônibus do aeroporto?
EU ROUPAS LAVAR DEVER ENQUANTO HAVER	Eu devo lavar as roupas enquanto houver sol.
JORNALISTA TU MEU ESTE TANTO INTERESSAR VIZINHO	Este jornalista, cujo artigo te interessou tanto, é meu vizinho.
EU MEU TRABALHO GOSTAR	Eu gosto muito do meu trabalho.
PENSAR EDUCAÇÃO CARA ESPERAR VER QUANTO CUSTAR IGNORÂNCIA	Se pensas que educação é cara, espere para ver o quanto custa a ignorância.
EU CANSAR FAST FOOD COMER	Eu estou cansado de comer fast-food.
ALGAS FÓSFORO CIANOBACTÉRIAS ALIMENTAR PROLIFERAR TOXINAS ELES LIBERAR	O fósforo alimenta as cianobactérias (algas azuis), que proliferam e liberam toxinas.
SEMPRE TEMPO ENCONTRAR PODER	Sempre se pode encontrar tempo.
QUANDO CERTO ELE PEDIR DINHEIRO MULHER CONDIÇÃO ACEITAR DEVER	Quando se pede por dinheiro, deve-se aceitar certas condições.
{OI AINDA AÍ}(q)	Oi? Ainda estás aí?
CULPA MEU (NÃO)	Não é minha culpa!
ARTE CARTAS CONHECER ELE PARECER ESCREVER	Ela parece conhecer a arte de escrever cartas.
DIFICILMENTE ELE QUÍMICA ESTUDAR	Ele dificilmente estuda química.
VELHO 5 QUILÔMETRO NADAR ELE TENTAR	O velho tentou nadar 5 quilômetros.
INCONSCIENTE TODO DIA ACIDENTE FICAR SEGUIR	Ela ficou inconsciente por todo o dia que se seguiu ao acidente.
ELE ESTE ARMA MANTER CARREGAR	Ele mantém esta arma carregada.
VOCÊ PERGUNTA RESPONDER PRECISAR	Você precisa responder à pergunta.
VOCÊ FRUTAS MAIS COMER DEVER	Você deveria comer mais frutas.
EU MULHER OUVIR GRITAR	Eu ouvi uma mulher gritar.
EU ESTE VERÃO TRABALHAR QUERER	Eu queria trabalhar neste verão.
COMPLETAMENTE EU NÚMERO ESQUECER	Eu esqueci completamente do número.
LÁ QUÃO VOCÊ VOCÊ SEU OCUPAR DEVER CASA FAZER DEVER	Seja lá quão ocupado você esteja, você deve fazer seu dever de casa.
DENTRO EU CLASSE NUNCA NÃO	Eu nunca estive dentro da classe.
GERAL NÓS PEIXE COMER COZER	Nós geralmente comemos peixe cozido.
EU LIVRO BIBLIOTECA DEVOLVER RETIRAR ALGUM NOVOS EU RETIRAR	Eu devolvi os livros que havia retirado da biblioteca, e retirei alguns novos.
FORA EU PROMOÇÃO TEMER QUESTÃO AGORA	Eu temo que uma promoção esteja fora de questão agora.
AMBOS PARALISAR PERNAS	Ela está paralisada em ambas pernas.
EU ESTE FILME VER GOSTAR	Eu gostaria de ver este filme.
EU MONTE COISA TER GOSTAR FAZER	Eu gosto de ter um monte de coisas para fazer.
ALI APENAS FAVOR ELE FICAR	Apenas fique ali, por favor.
ELE CAMINHAR 2 HORA SAIR	Ele saiu para caminhar por duas horas.
EU VOCÊ JEITO GOSTAR ANDAR	Eu gosto do jeito que você anda.
{BOM IDEAIS TER TU ACHAR NÃO}(q)	É bom ter ideais... não achas?
LOGO VOLTA ELE ESCREVER	Por favor me escreva logo de volta.
CADA VEZ EU MENOS TEMPO TER LER	Eu tenho cada vez menos tempo para ler.
CADA VEZ MAIS GRISALHOS EU CABELOS TER	Eu tenho cada vez mais cabelos grisalhos.
SEMPRE ELE VERDADE DIZER	Ele sempre diz a verdade.
DEPOIS PRIMAVERA INVERNO VIR	A primavera vem depois do inverno.
{VOCÊ CANSAR}(q)	Você não está cansado?
VANTAGEM SABER COMPUTADOR OPERAR	É uma vantagem saber operar um computador.
ILEGAL COPIAR LIVRO PERMISSÃO AUTOR	É ilegal copiar de livros sem a permissão do autor.
EU ELE DOENTE IMAGINAR	Eu imagino que ele esteja doente.
UM AO OUTRO IRMÃO ESTE 2 LEMBRAR	Estes dois irmãos lembram um ao outro.
COISA MUITAS HAVER PENSAR NÓS DEVER	Há muitas coisas sobre as quais devemos pensar.
ELE DEIXAR RASTROS DESAPARECER	Ele desapareceu sem deixar rastros.
ELE SE VOCÊ MEDO TER COBRAS COGITAR	Ele cogita se você tem medo de cobras.
{EU BILL FALAR PODER}(q)	Eu posso falar com Bill?
SEU EU SENTIR	Sinto sua falta.
MÍNIMO ELE O MUNDO INTERESSAR ACONTECER (NÃO)	Ele não está no mínimo interessado com o que está acontecendo no mundo.
EU CONCORDAR	Concordo.
EU CAFÉ ACOSTUMAR AÇÚCAR BEBER (NÃO)	Eu não estou acostumado a beber café sem açúcar.
CERCA DICIONÁRIO 1000000 PALAVRA CONTER	O dicionário contém cerca de meio milhão de palavras.
CRIANÇA 0 PARQUE BRINCAR	Três crianças estavam brincando no parque.
MASAO GAROTOS QUAL (NÃO)	Qual destes garotos é Masao?
{JÁ VOCÊ BARBA TER}(q)	Você já teve barba?
EU AJUDAR	Por favor me ajude.
ELE MÃE SEU LEMBRAR	Ele lembra sua mãe.
{ESCOLAR ÔNIBUS HAVER}(q)	Há um ônibus escolar?
IMPOSSÍVEL VOCÊ ISSO	Me é impossível explicar isso para você.
EU ATALHO DESKTOP CRIAR	Eu criei um atalho no desktop.
CHÁ ESTE BOM	Este chá é bom.
FORÇAR APRENDER NÓS DEVER NÃO ENCORAJAR APRENDER NÓS DEVER (NÃO)	Não devíamos ser forçados a aprender. Devíamos ser encorajados a aprender.
ONDE CÃO ELE SEU IR O QUERER SEGUIR	Seu cão o segue para onde quer que ele vá.
CERCA TOPO MESMA ÁRVORE ALTURA	O topo da árvore está com a mesma altura que a cerca.
FINLANDÊS ANO MENOS 50 AQUELES DIETA ALIMENTAR MUNDO SAUDÁVEL CITAR TER	Nos anos 50 os finlandeses eram citados como aqueles que tinham uma das dietas alimentares menos saudáveis do mundo.
CONSTANTE ESTE CRISE ENERGÉTICO DIA FALAR NÓS OUVIR	Ouvimos falar constantemente sobre uma crise energética nestes dias.
ELE IRMÃO MEU	Ele é meu irmão.
EU CASAR 2 FILHO EU TER	Eu sou casado e tenho dois filhos.
RAPIDAMENTE JAPONÊS DESENVOLVER	A economia japonesa desenvolveu-se rapidamente.
EU ISSO ESPERAR	Eu espero por isso.
COMO CÉU AZUL	Como o céu está azul!
MEU CASA ARROMBAR ENQUANTO AUSENTE	Minha casa foi arrombada enquanto estive ausente.
ELE APRESSAR	Apresse-se!
ONLINE SEU MESMO FÉRIAS NUNCA NÃO	Ela nunca está online, mesmo durante suas férias.
ELE JOVEM MAS EXPERIÊNCIA ELE TER	Ele é jovem, mas tem experiência.
HOSPITAL SEU MULHER ACIDENTE AUTOMOTIVO FERIR	Sua mulher está no hospital, ela se feriu em um acidente automotivo.
PRÓXIMO ESCOLA SEGUNDA COMEÇAR	A escola começa na próxima segunda.
INFORMAÇÃO	Obrigado pela informação.
{TÃO VOCÊ IMPORTANTE EU EU CONTAR ALGO ACORDAR AGORA EU TRABALHO MEU EU CONCENTRAR CONSEGUIR}(q)	Por que você me acordou para me contar algo tão importante? Agora eu não vou conseguir me concentrar no meu trabalho nunca!
A NÃO SER QUE VOCÊS CAMA PODER DINHEIRO GANHAR PERMANECER (NÃO)	Não permaneçam na cama, a não ser que vocês possam ganhar dinheiro nela.
SEMPRE INDIVÍDUO JASON FORMA VERDADEIRO SURPRESA QUANDO ELE ALGO DIZER	Jason era um indivíduo taciturno, de forma que era sempre uma verdadeira surpresa quando ele dizia algo.
TESTE GRAVIDEZ FAZER	Vamos fazer um teste de gravidez.
EU NÃO_SABER QUANDO VIR ELE PODER {NÃO}(headshake)	Eu não sei quando ela pode vir.
CRISTÃOS JESUS CRISTO CREEM	Os cristãos creem em Jesus Cristo.
BEM EU BARCO EU LONGE AQUI QUERER LEVAR	Eu quero um barco que me leve para bem longe daqui.
AMANHÃ RÁDIO ELE CHOVER	Segundo o rádio, choverá amanhã.
TOALHA ESTE ÁSPERO TOQUE	Esta toalha é áspera ao toque.
MONTANHA DISTÂNCIA NÓS VIR	Vimos a montanha à distância.
EXEMPLO DELE SEGUIR	Siga o exemplo dele.
CHUVOSO ESTAÇÃO NOSSO	É a nossa estação chuvosa.
RICO NÃO ESTAR CERTO EU PENSAR AINDA_{NÃO}(headshake)	Não sou rico, e também não penso em ser.
ELE DESEMPREGAR MÊS	Ele está desempregado por um mês.
ELE CHEFE TRIBO SEU 35 ANO	Ele é o chefe de sua tribo por 35 anos.
COMO ELE SEU EU CÂMERA USAR MOSTRAR	Ele me mostrou como usar sua câmera.
ELE ISSO FAZER (NÃO)	Ele não tem que fazer isso.
AQUELE CONTA BANCO EU TER	Tenho conta naquele banco.
ELE EUROPA MESES VAGAR VIR	Ele vem vagando pela Europa por meses.
MÁQUINA ROUPAS INCRÍVEL INVENÇÃO LAVAR	A máquina de lavar roupas é uma invenção incrível.
AQUI BREVE TEMPO EU FICAR	Ficarei aqui por um breve período de tempo.
GRÁVIDA 8 MÊS	Ela está grávida por oito meses.
{VOCÊ PORTA ABRIR PODER}(q)	Você pode abrir a porta?
ASSIM TÍPICO DELE	É típico dele se comportar assim.
ENTÃO FINAL NÓS CONHECER EU ESTE MOMENTO ESPERAR	Então finalmente nos conhecemos! Eu esperei muito por este momento.
ATRÁS CACHORRO GATO CORRER	O cachorro correu atrás do gato.
PAI CÂMERA MEU EU COMPRAR	Meu pai comprou uma câmera para mim.
ELE APRESSAR	Apresse-se.
ROSA MONTERO EXTRAORDINÁRIO MULHER	Rosa Montero é uma mulher extraordinária.
{DEMAIS DINHEIRO}(q)	Dinheiro demais?
VESTIDOS MODA	Vestidos longos estiveram na moda.
DR. PATTERSON MANEIRA ALGUM GORILAS KOKO ESPERTOS LINGUAGEM SINAIS APRENDER ENSINAR	Dr. Patterson: de maneira alguma! Koko nos ensinou que gorilas são espertos a ponto de aprender a linguagem de sinais.
OLHO AZUIS	Os olhos dele são azuis.
QUENTES MANTIMENTOS RÁPIDO DIA MAIS ESTRAGAR	Em dias quentes os mantimentos se estragam mais rápido.
ALHO CORTE FRANCÊS RODELAS CORRENTE ÁGUA ELE LAVAR	Corte o alho francês em rodelas e lave em água corrente.
PELE BATATAS CENOURAS	Pele as batatas e as cenouras.
MAIONESE ELE JUNTAR	Junte a maionese.
CORTE PÃO DIAGONAL 1 FATIA DEDO ESPESSURA	Corte o pão na diagonal em fatias com cerca de 1 dedo de espessura.
NÚMERO PESSOA DIABETES TODO O MUNDO AUMENTAR	O número de pessoas com diabetes está a aumentar em todo o mundo.
PORTUGAL EXCEÇÃO (NÃO)	Portugal não é exceção.
FAZER QUEIJO ARTE	Fazer queijo é uma arte.
LIVRO 1689 PUBLICAR	O livro foi publicado em 1689.
ARROZ COZER	Coza o arroz.
CENOURA QUEIJO CUBINHOS ELE JUNTAR RALAR	Junte a cenoura ralada, e o queijo aos cubinhos.
SEMPRE MAIS 4 MINUTO COZER ELE DEIXAR MEXER	Deixe cozer por mais 4 minutos, mexendo sempre.
