Bom dia, Mike.	BOM DIA MIKE
Se eu pudesse ser assim...	ASSIM SE EU NÃO ESTAR CERTO PODER
Se o mundo não fosse como ele é hoje, eu poderia confiar em qualquer um.	HOJE COMO QUALQUER EU MUNDO ELE SE PODER PODER CONFIAR FOSSAR (NÃO)
Depende do contexto.	CONTEXTO ELE DEPENDER
Nunca é tarde demais para aprender.	TARDE DEMAIS NUNCA NÃO
O Japão é um país industrial.	JAPÃO INDUSTRIAL PAÍS
Não, não é meu novo namorado.	NOVO NAMORADO MEU (NÃO)
Por favor pense nisso.	FAVOR ISSO PENSAR
Ela começou a falar com o cachorro.	CACHORRO FALAR COMEÇAR
Ela tem uma filha que é pianista.	MULHER FILHO TER PIANISTA
Os espanhóis têm dois sobrenomes.	ESPANHOL 2 SOBRENOME TER
Não era essa a minha intenção.	INTENÇÃO MEU ESSE (NÃO)
O computador é novo.	COMPUTADOR NOVO
O rádio está desligado.	RÁDIO DESLIGAR
A escola foi fundada em 1650.	ESCOLA 1650 FUNDAR
Isso é um jogo de palavras.	ISSO JOGO PALAVRAS
A vitória é improvável, mas não impossível.	VITÓRIA IMPROVÁVEL MAS IMPOSSÍVEL (NÃO)
Sobre o que você está falando?	{O VOCÊ FALAR}(q)
O que você respondeu?	{O VOCÊ RESPONDER}(q)
Que outras opções eu tenho?	{OUTRO MULHER OPÇÃO EU TER}(q)
Quando eu crescer eu quero ser um rei.	QUANDO EU EU CRESCER QUERER REI
Quando eu acordei, eu estava triste.	QUANDO EU EU ACORDAR TRISTE
Quem fez o boneco de neve?	NEVE BONECO FAZER QUEM (NÃO)
Por que você pintou o banco de vermelho?	{VOCÊ BANCO VERMELHO PINTAR}(q)
Você é um anjo!	VOCÊ ANJO
Você não é rápido o bastante.	O BASTANTE VOCÊ RÁPIDO (NÃO)
"Eu nunca pensei nisso", disse o senhor. "O que devemos fazer?"	EU ISSO DIZER SENHOR DIZER PENSAR NUNCA NÃO O FAZER DEVER
"Onde é sua casa?" "É bem ali"	ONDE CASA SEU ALI BEM
"Quem é essa?" "É a sua mãe."	QUEM ESSE MÃE SEU
Um motorista de ônibus é responsável pela segurança de seus passageiros.	MOTORISTA ÔNIBUS RESPONSÁVEL SEGURANÇA PASSAGEIROS SEU
Um homem cuja esposa morreu é chamado de viúvo.	HOMEM MULHER ESPOSO VIÚVO MORRER NOME
Todos os cavalos são animais, mas nem todos animais são cavalos.	TODO CAVALOS ANIMAL MAS NEM TODO ANIMAL CAVALOS
Tudo que já foi inventado é verdadeiro.	JÁ TUDO VERDADEIRO INVENTAR
Tudo que vocês podem fazer é confiar um no outro.	TUDO VOCÊS OUTRO FAZER PODER CONFIAR
Allen é um poeta.	ALLEN POETA
Os EUA são um bom lugar para viver, se você estiver aqui para ganhar dinheiro.	AQUI EUA LUGAR SE VOCÊ GANHAR DINHEIRO VIVER
Você está livre hoje à noite?	{HOJE VOCÊ NOITE LIVRE}(q)
No ensino médio eu acordava às 6 da manhã todo dia.	MÉDIO EU TODO 6 ENSINO MANHÃ DIA ACORDAR
Suportar pode ser insuportável.	SUPORTAR ELE PODER INSUPORTÁVEL
Bob é meu amigo.	BOB AMIGO MEU
Vamos fingir que somos alienígenas.	ALIENÍGENAS FINGIR
Que a força esteja com você.	FORÇA VOCÊ
Pode ser dito de outra maneira?	{OUTRO DIZER MANEIRA DIZER ELE PODER}(q)
A China é muito maior que o Japão.	CHINA MAIOR DO QUE JAPÃO
Você gosta de música?	{VOCÊ MÚSICA GOSTAR}(q)
Não subestime meu poder.	PODER MEU ELE SUBESTIMAR (NÃO)
Embora ele tenha se desculpado, eu ainda estou furioso.	AINDA EMBORA ELE EU FURIOSO
Todos têm forças e fraquezas.	TODO FORÇAS FRAQUEZAS ELES TER
Faz quanto tempo que você está em Shanghai?	VOCÊ TEMPO SHANGHAI FAZER QUANTO (NÃO)
Eu fico intrigado com estrangeiros.	EU FICAR EU ESTRANGEIROS FICAR INTRIGAR
Me dê uma razão para fazer isso.	EU RAZÃO FAZER ISSO DAR
Boa noite!	BOM NOITE
Feliz ano novo!	FELIZ ANO NOVO
Ele tomou uma taça de vinho tinto.	TINTO ELE TAÇA VINHO TOMAR
Ele é um artista famoso.	ELE ARTE FAMOSO
Ele é muito bonito.	ELE BONITO
Quem ri por último ri melhor.	MELHOR QUEM RIR
Ele está dormindo como um bebê.	ELE BEBER DORMIR
Como eu poderia ser um robô? Robôs não sonham.	EU ROBÔ PODER COMO ROBÔS SONHAR (NÃO)
Quanto tempo você ficou?	VOCÊ TEMPO FICAR QUANTO (NÃO)
Você precisa de quantas horas de sono?	VOCÊ HORAS SONO PRECISAR QUANTAS (NÃO)
Quantos anos você tem?	ANOS VOCÊ TER QUANTOS (NÃO)
Qual a sua idade?	IDADE SEU QUAL (NÃO)
Eu sempre gostei mais de personagens misteriosos.	SEMPRE MISTERIOSOS EU MAIS MULHER PERSONAGEM GOSTAR
Eu sou uma pessoa que tem muitos defeitos, esses defeitos podem ser facilmente corrigidos.	FACILMENTE DEFEITOS EU PESSOA MUITOS ESSE DEFEITOS PODER CORRIGIR TER
Eu acredito em você.	EU VOCÊ ACREDITAR
Eu também não consigo explicar.	EU EXPLICAR CONSEGUIR AINDA_{NÃO}(headshake)
Eu não gostei.	EU GOSTAR (NÃO)
Eu não queria que isso acontecesse.	ISSO EU ACONTECER (NÃO)
Eu não tenho ninguém que viaje comigo.	EU NINGUÉM COMIGO VIAJAR NÃO_TER {NÃO}(headshake)
Eu não tenho a intenção de ser egoísta.	EU INTENÇÃO EGOÍSTA (NÃO)
Eu não sei o que você quis dizer.	EU VOCÊ O DIZER QUERER NÃO_SABER {NÃO}(headshake)
Eu não fumo.	EU FUMO (NÃO)
Eu não quero ir à escola.	EU ESCOLA IR (NÃO)
Eu não quero esperar tanto.	EU TANTO ESPERAR (NÃO)
Eu aprendi a viver sem ela.	EU VIVER APRENDER
Eu preciso te fazer uma pergunta tola.	EU PERGUNTA FAZER TOLA PRECISAR
Uma vez eu quis ser um astrofísico.	UMA VEZ EU QUERER ASTROFÍSICO
Eu suponho que seja diferente quando você pensa sobre isso a longo prazo.	EU DIFERENTE QUANDO LONGO VOCÊ ISSO PRAZO PENSAR
Eu pensei que você gostava de aprender coisas novas.	EU VOCÊ COISA NOVAS APRENDER PENSAR
Então eu vou jogar Sudoku em vez de continuar a te aborrecer.	ENTÃO EU SUDOKU JOGAR TU ABORRECER CONTINUAR
Eu não vou te perguntar mais nada hoje.	HOJE EU MAIS NADA PERGUNTAR (NÃO)
Eu não ficaria feliz, mas eu não me mataria.	EU FELIZ FICAR NÃO MAS EU EU MATAR (NÃO)
Eu ganho €100 por dia.	DIA EU 0 GANHAR
Qual o lugar mais bonito do mundo?	LUGAR BONITO MUNDO MAIS QUAL (NÃO)
É a nossa vez de rir.	NOSSO RIR VEZ
Ele vai ficar na casa de um amigo.	ELE AMIGO CASA FICAR
Ele é um dos nossos diretores mais experientes.	ELE DIRETORES NOSSO MAIS
Abra o programa e insira uma tabela com 3 colunas e 8 linhas.	ABRA PROGRAMA TABELA 3 COLUNA ELE INSERIR
Áreas úmidas e tempestuosas vão se tornar mais úmidas e tempestuosas.	ÁREAS ÚMIDAS TEMPESTUOSAS MAIS ÚMIDAS TORNAR
É um dos maiores festivais de verão de música.	FESTIVAIS VERÃO MÚSICA
Minha época na escola será uma das minhas lembranças mais felizes.	MEU ÉPOCA ESCOLA LEMBRANÇAS MEU MAIS
Eu só estou falando.	SÓ EU FALAR
Minhas ideias estão acabando.	IDEIAS MEU ACABAR
Estou ficando sem ideias.	IDEIAS FICAR
Para fazer isso, você tem que correr riscos.	VOCÊ FAZER ISSO RISCOS CORRER
A inocência é uma coisa bela.	INOCÊNCIA COISA BELO
É uma tarefa difícil decidir o que é "certo" ou "errado", mas você tem que fazer isso.	TAREFA O CERTO DECIDIR OU ERRAR MAS QUE VOCÊ ISSO FAZER
Não é caro.	CARO
Para mim não importa se ele vem ou não.	SE ELE EU VIR OU IMPORTAR (NÃO)
Não faz diferença para mim se ele vem ou não.	SE ELE DIFERENÇA EU VIR OU FAZER (NÃO)
Para mim parece ser interessante.	INTERESSANTE EU PARECER
Não passou muito tempo até nos encontrarmos por acaso de novo.	ACASO MUITO TEMPO NÓS ENCONTRAR NOVO PASSADO (NÃO)
É porque você não quer ficar sozinho.	PORQUE VOCÊ SÓ FICAR (NÃO)
Não é algo que qualquer um seja capaz de fazer.	QUALQUER ALGO CAPAZ FAZER (NÃO)
É uma pena que eu não precise perder peso.	EU PENA PESO PERDER PRECISAR (NÃO)
A Itália é um país muito bonito.	ITÁLIA BONITO PAÍS
Me deixe em paz!	EU PAZ DEIXAR
Mary está interessada em política.	MARY INTERESSAR POLÍTICA
Mary se interessa por política.	MARY POLÍTICA INTERESSAR
Posso perguntar seu nome?	{NOME SEU PERGUNTAR EU PODER}(q)
Talvez seja do mesmo jeito para ele.	TALVEZ JEITO MESMO DELE
A maioria das pessoas escreve sobre sua rotina diária.	DIÁRIO MAIORIA PESSOA ROTINA SEU ESCREVER
Todo mundo ama as vuvuzelas.	TODO MUNDO VUVUZELAS AMAR
Pai, compra um vuvuzela pra mim?	{PAI VUVUZELA EU COMPRA}(q)
As vuvuzelas têm um som muito agradável.	AGRADÁVEL VUVUZELAS SOM TER
Meu professor de física não se importa se eu faltar às aulas.	EU PROFESSOR FÍSICO MEU FALTAR AULAS IMPORTAR (NÃO)
Não, obrigado.	NÃO
Ninguém veio.	NINGUÉM VIR
Abra a sua boca!	ABRA BOCA SEU
Por favor, você poderia me dar um copo d'água?	{VOCÊ D'ÁGUA COPO FAVOR EU DAR PODER}(q)
Ela está perguntando como isso é possível.	PERGUNTAR POSSÍVEL ISSO
Está nevando.	NEVAR
Pare de me ver como uma pessoa comum.	COMO EU PESSOA COMUM PARIR VER
Isso foi provavelmente o que os influenciou na decisão deles.	PROVAVELMENTE ISSO O OS DECISÃO ELES IR INFLUENCIAR
A essência da liberdade é a matemática.	ESSÊNCIA MATEMÁTICA
A última pessoa para quem eu contei a minha ideia achou que eu estava louca.	PESSOA EU MEU EU IDEIA ACHAR MULHER LOUCO CONTAR
As únicas respostas úteis são aquelas que geram novas perguntas.	RESPOSTAS AQUELAS NOVAS PERGUNTAS GERAR
A polícia vai fazer você encontrar as balas.	POLÍCIA VOCÊ BALAS ENCONTRAR FAZER
Ambas as irmãs são loiras.	MULHER IRMÃO AMBOS MULHER LOIRO
Então há um problema...	ENTÃO PROBLEMA HAVER
Teoricamente eu estou cursando matemática.	TEORICAMENTE EU MATEMÁTICA CURSAR
Existem poucos sites na língua Tartar na Internet.	POUCO SITES LÍNGUA TARTAR INTERNET EXISTIR
Não existe amor sem ciúmes.	AMOR CIÚMES EXISTIR (NÃO)
É aí que está o problema.	PROBLEMA
Sempre foi desse jeito.	SEMPRE JEITO ELE IR
Ter dúvidas em relação a si mesmo é o primeiro sinal de inteligência.	MESMO DÚVIDAS SINAL SI PRIMEIRO INTELIGÊNCIA
Amanhã eu vou estudar na biblioteca.	AMANHÃ EU BIBLIOTECA ESTUDAR
Ande mais devagar.	DEVAGAR MAIS ELE ANDAR
O que te mantém acordado até tão tarde?	{TÃO O TU TARDE ACORDAR MANTER}(q)
Que horas são?	{HORAS}(q)
Não importa o que eu fizer, ela diz que eu posso fazer melhor.	EU QUE EU O DIZER PODER MELHOR FAZER FAZER IMPORTAR (NÃO)
Para onde você está indo?	{ONDE VOCÊ INDO}(q)
Onde você viu a mulher?	VOCÊ MULHER VER ONDE (NÃO)
Querer é poder.	QUERER PODER
Onde ele nasceu?	ELE NASCER ONDE (NÃO)
Com quem eu falo?	EU FALAR QUEM (NÃO)
Quem é?	QUEM
Eu estou falando com quem?	EU FALAR QUEM (NÃO)
Quem quebrou o vaso?	VASO QUEBRAR QUEM (NÃO)
Quem procura encontra.	QUEM PROCURA ENCONTRAR
Quem quer chocolate quente?	QUENTE CHOCOLATE QUERER QUEM (NÃO)
Por que você se desculpa por algo que você não fez?	{VOCÊ VOCÊ ALGO DESCULPAR FAZER NÃO}(q)
O inverno é a minha estação favorita.	INVERNO FAVORITO ESTAÇÃO MEU
Você consegue!	VOCÊ CONSEGUIR
Você não disse nada para ele?	{VOCÊ NADA DELE DIZER NÃO}(q)
Você nunca tem aula ou o quê?	{VOCÊ QUÊ AULA OU TER NUNCA NÃO}(q)
Você acha que os seres humanos um dia vão colonizar a lua?	{VOCÊ SERES_HUMANOS DIA COLONIZAR LUA ACHAR}(q)
Você ficaria surpreso com a quantidade de coisas que você pode aprender em uma semana.	VOCÊ VOCÊ QUANTIDADE COISA SURPRESO SEMANA FICAR APRENDER PODER
"Bom dia", disse Tom sorrindo.	DIA BOM TOM DIZER SORRIR
"Eu a vi cinco dias atrás", ele disse.	ATRÁS EU ELE DIA DIZER 5 VER
"Ele vem?" "Não, acho que não."	ELE VIR EU ACHAR (NÃO)
"Era isso que eu estava procurando!" Ele exclamou.	ISSO EU PROCURAR ELE EXCLAMAR
"Qual é o seu desejo?" Perguntou o pequeno coelho branco.	DESEJO QUAL SEU PEQUENO BRANCO COELHO ELE PERGUNTAR
Uma esponja absorve água.	ÁGUA ESPONJA ABSORVER
Um chá com limão, por favor.	CHÁ LIMÃO FAVOR
Nem tudo que brilha é ouro.	NEM TUDO BRILHAR OURO
E ninguém lhe ajudou?	{NINGUÉM LHE AJUDAR}(q)
Mas a possibilidade é improvável.	MAS POSSIBILIDADE IMPROVÁVEL
Mas você nunca me disse isso!	MAS VOCÊ ISSO DIZER NUNCA NÃO
Posso pagar com cartão de crédito?	{CARTÃO PAGAR EU PODER}(q)
Cheque se o seu nome de usuário e sua senha foram escritos corretamente.	NOME USUÁRIO SEU EU CHECAR CORRETAMENTE SEU SENHA ESCREVER
As aulas logo recomeçarão.	LOGO AULAS RECOMEÇAR
Dezembro é o último mês do ano.	DEZEMBRO ÚLTIMO MÊS ANO
Você disse que eu nunca poderia ganhar?	{VOCÊ EU PODER GANHAR DIZER NUNCA NÃO}(q)
Faça alguma coisa!	ALGUM COISA ELE FAZER
Você sabe quem é ela?	VOCÊ SABER QUEM (NÃO)
Você sabe quem é ele?	VOCÊ SABER ELE QUEM (NÃO)
Você quer ir?	{VOCÊ IR QUERER}(q)
Você quer ir embora?	{VOCÊ EMBORA IR QUERER}(q)
Não tenha medo de cometer erros ao falar em inglês.	MEDO ERROS INGLÊS COMETER FALAR EU NÃO_TER {NÃO}(headshake)
Não fique triste.	TRISTE ELE FICAR (NÃO)
Não abra antes do trem parar.	ANTES PARAR ELE ABRIR (NÃO)
Toda pessoa que é só é só porque ela tem medo de outras pessoas.	SÓ TODO PESSOA SÓ PORQUE OUTRO MEDO TER PESSOAS
Toda pessoa é uma lua e tem um lado negro que nunca mostra para ninguém.	TODO PESSOA LUA LADO NINGUÉM TER MOSTRAR NUNCA NÃO
O futebol é o meu esporte preferido.	FUTEBOL ESPORTE MEU PREFERIR
Para mim não há problema algum.	ALGUM EU PROBLEMA HAVER (NÃO)
Uma vez na vida estou fazendo uma boa ação... e não serve para nada.	UMA VEZ BOM VIDA AÇÃO FAZER NADA ELE SERVIR (NÃO)
Por alguma razão eu me sinto mais vivo à noite.	EU ALGUM RAZÃO MAIS EU NOITE VIVO SENTIR
Me dê a chave dessa fechadura!	EU DÊ CHAVE FECHADURA
Tchau!	TCHAU
Até mais!	ATÉ MAIS
Feliz aniversário!	FELIZ ANIVERSÁRIO
Ele é irmão de Taro.	ELE IRMÃO TARO
Ele me deixou esperando por muito tempo.	ELE EU MUITO TEMPO ESPERAR DEIXAR
Ele perdeu seu guarda-chuva de novo.	ELE MULHER GUARDA CHUVA SEU PERDER
Todos os guarda-chuvas perdidos viram clips de papel, como qualquer um pode comprovar ao achá-los.	TODO PERDER COMO QUALQUER CLIPS PAPEL ELE PODER ACHAR COMPROVAR VER
Ele toca muito bem piano.	BEM ELE PIANO TOCAR
Ele estudou fora.	FORA ELE ESTUDAR
Ele ficaria feliz em ouvir isso.	ELE ISSO FELIZ OUVIR FICAR
Ele escreveu um livro na China.	ELE LIVRO CHINA ESCREVER
Ele é muito sexy.	ELE SEXY
Helen, esta é minha prima.	HELEN PRIMA MEU
Me ajude.	EU AJUDAR
A bicicleta dele é azul.	BICICLETA AZUL DELE
Esperança não é uma estratégia.	ESPERANÇA ESTRATÉGIA (NÃO)
Como você está? Faz um bom tempo que não te vejo!	VOCÊ COMO FAZER TEMPO TU VER (NÃO)
Como se diz isso em italiano?	{COMO SE ITALIANO ISSO ELE DIZER}(q)
Quanto tempo leva para chegar na estação?	TEMPO CHEGAR ESTAÇÃO ELE LEVAR QUANTO (NÃO)
Quantos amigos íntimos você tem?	AMIGO ÍNTIMOS VOCÊ TER QUANTOS (NÃO)
Quanto custa essa mountain bike?	BIKE ESSE MOUNTAIN ELE CUSTAR QUANTO (NÃO)
Quanto custa essa gravata?	ESSE GRAVATA ELE CUSTAR QUANTO (NÃO)
Os humanos não foram feitos para viver para sempre.	SEMPRE HUMANOS VIVER FAZER (NÃO)
Eu também fui.	TAMBÉM EU IR
Eu não sou muito de viajar.	EU VIAJAR (NÃO)
Eu comprei um livro ontem.	ONTEM EU LIVRO COMPRAR
Eu comprei duas garrafas de leite.	EU GARRAFA 2 LEITE COMPRAR
Só me resta me perguntar se é do mesmo jeito com todo mundo.	SÓ EU TODO RESTAR EU JEITO MUNDO MESMO PERGUNTAR
Eu não posso gastar nem um iene.	EU NEM IENE GASTAR PODER (NÃO)
Eu não posso imaginar a vida sem você.	EU VIDA VOCÊ IMAGINAR PODER (NÃO)
Eu não posso viver esse tipo de vida.	EU ESSE TIPO VIDA VIVER PODER (NÃO)
Eu não consigo viver sem uma televisão.	EU TELEVISÃO VIVER CONSEGUIR (NÃO)
Eu não posso contar a ela agora. Não é mais tão simples.	AGORA EU CONTAR PODER NÃO TÃO MAIS SIMPLES (NÃO)
O holandês tem uma relação próxima com o alemão.	PRÓXIMO HOLANDÊS RELAÇÃO ALEMÃO TER
A peça termina com a morte do herói.	PEÇA MORTE HERÓI TERMINAR
Eu não posso esquecer a gentileza dele.	EU GENTILEZA DELE ESQUECER PODER (NÃO)
Eu não tenho uma conta nesses fóruns.	EU ESSE CONTA FÓRUNS NÃO_TER {NÃO}(headshake)
Eu não me importo.	EU EU IMPORTAR (NÃO)
Eu não o conheço.	EU O CONHECER (NÃO)
Eu não gosto quando matemáticos que sabem muito mais do que eu não conseguem se expressar explicitamente.	EU GOSTAR NÃO QUANDO EXPLICITAMENTE MAIS DO QUE MATEMÁTICOS EU SABER EXPRESSAR CONSEGUIR (NÃO)
Eu não entendo porque a Alemanha ganhou o Eurovision.	EU PORQUE ALEMANHA GANHAR EUROVISION ENTENDER (NÃO)
Eu sonhei com você.	EU VOCÊ SONHAR
Eu finalmente encontrei a solução para o problema.	FINAL EU SOLUÇÃO PROBLEMA ENCONTRAR
Eu finalmente resolvi o problema.	FINAL EU PROBLEMA RESOLVER
Eu acho idiomas estrangeiros muito interessantes.	ESTRANGEIROS INTERESSANTES EU IDIOMAS ACHAR
Eu já terminei meu trabalho.	JÁ EU MEU TRABALHO TERMINAR
Eu tenho aula amanhã.	AMANHÃ EU AULA TER
Eu perdi a chave.	EU CHAVE PERDER
Eu tenho que fazer compras. Voltarei em uma hora.	EU COMPRAS FAZER HORA EU VOLTAR
Eu tenho que comprar algumas coisas. Estarei de volta daqui a uma hora.	EU ALGUM COISA COMPRAR AQUI VOLTA HORA
Estou com muitas coisas na cabeça nesses últimos dias.	ESSE COISA MUITAS ÚLTIMO DIA CABEÇA
Eu só queria checar o meu e-mail.	SÓ EU MEU E MAIL CHECAR QUERER
Eu sei que ela é bonita.	EU SABER BONITO
Eu os conheço.	EU OS CONHECER
Aprendi francês em vez de alemão.	EU APRENDER FRANCÊS ALEMÃO
Eu gosto de tocar piano.	EU PIANO TOCAR GOSTAR
Eu gosto de cabelo curto.	CURTO EU CABELO GOSTAR
Eu moro no Japão.	EU JAPÃO MORAR
Eu moro com meus pais.	EU PAIS MEU MORAR
Minha decisão foi tomada.	MEU DECISÃO TOMAR
Eu posso ser antissocial, mas não significa que eu não fale com as pessoas.	EU PODER ANTISSOCIAL MAS EU PESSOA FALIR NÃO SIGNIFICAR (NÃO)
Eu tenho que admitir que eu ronco.	EU QUE EU RONCAR ADMITIR
Eu nunca vi uma geladeira vermelha.	VERMELHO EU GELADEIRA VER NUNCA NÃO
Eu pedi dois hambúrgueres.	EU 2 HAMBÚRGUERES PEDIR
Eu o vi correndo.	EU O CORRER VER
Eu vi com meus próprios olhos.	PRÓPRIOS EU OLHO MEU VER
Eu acho que as provas estão arruinando com a educação.	EU PROVAS ARRUINAR EDUCAÇÃO ACHAR
Eu acho que ele não virá.	ELE EU ACHAR VIR (NÃO)
Eu acho que tenho uma teoria sobre isso.	EU TER TEORIA ISSO ACHAR
Eu acho que é melhor não ser mal educado.	MAL EU ACHAR MELHOR EDUCAR (NÃO)
Eu acho que morar com você influenciou a sua forma de viver.	EU SEU MORAR VOCÊ INFLUENCIAR FORMA ACHAR VIVER
Eu quero um tocador de MP3!	EU TOCADOR 0 QUERER
Eu quero ser mais independente.	EU INDEPENDENTE MAIS
Eu estava me perguntando se você ia aparecer hoje.	HOJE EU VOCÊ APARECER PERGUNTAR
Eu estou brincando.	EU BRINCAR
Eu sou tão burro... estou tentando te explicar coisas que eu mesmo não entendo.	TÃO BURRO EU TENTAR COISA TENTAR EXPLICAR ENTENDER AINDA_{NÃO}(headshake)
Agora estou cansado.	AGORA CANSAR
Essa ilha pertenceu à França no século 19.	ILHA ESSE FRANÇA SÉCULO 19 PERTENCER
Eu sempre imaginei como seria ter irmãos.	SEMPRE COMO EU IMAGINAR IRMÃOS TER
Se alguém perguntar qual é o sentido da história, eu realmente não sei.	SENTIDO EU SE ALGUÉM PERGUNTAR QUAL HISTÓRIA SABER AINDA_{NÃO}(headshake)
Se eu quisesse te assustar, eu te contaria o sonho que eu tive há algumas semanas atrás.	ATRÁS SE EU EU EU ALGUM TU SONHO SEMANAS CONTAR HAVER ASSUSTAR TER
Se pelo menos nós tivéssemos um jardim!	PELO MENOS SE NÓS JARDIM TER
Se você olhar para a letra, ela não significa muito.	VOCÊ SE OLHAR LETRA SIGNIFICAR (NÃO)
A ignorância é uma bênção.	IGNORÂNCIA BÊNÇÃO
Há uma agência de correios aqui perto?	{AQUI CORREIOS PERTO AGÊNCIA HAVER}(q)
Já são 11 horas.	JÁ 11 HORA
É difícil traduzir um poema para uma outra língua.	DIFÍCIL OUTRO TRADUZIR POEMA LÍNGUA
Isso só mostra que você não é um robô.	SÓ VOCÊ ISSO MOSTRAR ROBÔ (NÃO)
Levei mais de duas horas para traduzir algumas páginas para inglês.	MAIS ALGUM HORA 2 PÁGINA INGLÊS TRADUZIR EU LEVAR
Foi muito bom te ver de novo.	NOVO BOM ELE TER MUITO
Não fui eu, comissário!	EU COMISSÁRIO IR (NÃO)
Isso seria algo que eu teria que programar.	QUE ISSO ALGO EU PROGRAMAR
Eu levaria uma eternidade para explicar tudo.	EU ETERNIDADE TUDO LEVAR EXPLICAR
É impossível para mim explicar isso para você.	IMPOSSÍVEL VOCÊ EXPLICAR ISSO
É minha música favorita.	FAVORITO MÚSICA MEU
Não é tão surpresa assim, não é?	{TÃO ASSIM SURPRESA}(q)
Está tão quente que você poderia cozinhar um ovo no capô de um carro.	TÃO QUENTE VOCÊ PODER OVO CAPÔ CARRO COZINHAR
Não adianta mais nada continuar pensando.	MAIS NADA CONTINUAR PENSAR ADIANTAR (NÃO)
Jane e eu tocamos piano muito bem.	JANE BEM EU PIANO TOCAR
Janeiro é o primeiro mês do ano.	JANEIRO MÊS PRIMEIRO ANO
A justiça é cara.	JUSTIÇA CARA
Kenji é um jogador de tênis.	KENJI JOGADOR TÊNIS
Vamos pensar no pior que pode acontecer.	PIOR PENSAR ACONTECER PODER
A vida é dura, mas eu sou mais ainda.	VIDA DURA MAS AINDA EU MAIS
Olhe essas nuvens escuras.	ESCURO ESSE MULHER NUVEM ELE OLHAR
O amor é cego.	AMOR CEGO
A matemática é como o amor: uma ideia simples, mas que pode se tornar bem complicada.	COMO SIMPLES MATEMÁTICA AMOR IDEIA MAS BEM TORNAR COMPLICAR ELE PODER
Posso fazer uma pergunta?	{PERGUNTA FAZER EU PODER}(q)
Posso ver seu passaporte?	{PASSAPORTE SEU VER EU PODER}(q)
Meg fala demais.	DEMAIS MEG FALAR
Meu pai é meio careta.	PAI CARETO MEIO MEU
Meu pai tem um gosto antigo.	ANTIGO PAI GOSTO MEU TER
Meu pai é alto.	PAI ALTO MEU
Meu pai vive e trabalha em Tóquio.	PAI MEU VIVER TÓQUIO TRABALHAR
Minha cor favorita é vermelho.	MEU COR VERMELHO
Meu avô gosta de caminhar.	GOSTAR AVÔ MEU CAMINHAR GOSTAR
Meus sapatos estão muito pequenos. Preciso de novos.	SAPATOS MEU PEQUENO PRECISO NOVOS
Minha mulher não gosta mesmo de gatos.	MESMO MULHER MEU GATOS GOSTAR (NÃO)
Prazer em te conhecer.	PRAZER TU CONHECER
Prazer.	PRAZER
Ninguém ajudou.	NINGUÉM AJUDAR
Ninguém mais confia nele.	MAIS NINGUÉM NELE CONFIAR
Oh, me desculpe.	OH EU DESCULPAR
Oh, sinto muito.	OH EU SENTIR
Oh, minhas calças brancas! E elas eram novas!	CALÇAS MEU OH BRANCAS ELAS NOVAS
Ninguém pode esperar tudo das escolas.	NINGUÉM TUDO ESCOLAS ESPERAR PODER
Paul telefonou agorinha.	PAUL AGORINHA TELEFONAR
Picasso é um artista famoso.	PICASSO ARTE FAMOSO
Por favor, não me interrompa enquanto eu estiver falando.	EU INTERROMPER ENQUANTO EU FALAR (NÃO)
Por favor, me dê outra chance.	OUTRO EU CHANCE DAR
Por favor, ligue a TV.	TV LIGAR
Levante suas mãos!	LEVANTE MÃOS SEU
Erguei as mãos!	MÃOS VÓS ERGUER
Vá embora, chuva!	EMBORA VÁ CHUVA
Ida e volta? Só ida.	{VOLTA IDA SÓ IR}(q)
Agora falando sério, o episódio 21 quase me fez chorar de rir.	AGORA EPISÓDIO FALAR SÉRIO 21 QUASE EU CHORAR RIR FAZER
