Diana através dos ramos	ATRAVÉS DIANA RAMOS
Ou 2) a matéria nem é uma coisa nem outra;	OU 2 MATÉRIA NEM COISA
Sofro, Lídia, do medo do destino.	DT(L-Í-D-I-A) MEDO DESTINO SOFRER
Qualquer pequena cousa de onde pode	ONDE PEQUENO COUSA QUALQUER PODER
Brotar uma ordem nova em minha vida,	NOVO VIDA ORDEM MEU BROTAR
Lídia, me aterra.	MULHER LÍDIO EU ATERRAR
Qualquer cousa, qual seja, que transforme	COUSA QUALQUER TRANSFORMAR
Meu plano curso de existência, embora	PLANO CURSO EXISTÊNCIA MEU EMBORA
Para melhores cousas o transforme,	MELHORES O COUSAS TRANSFORMAR
Por transformar	TRANSFORMAR
Odeio, e não o quero	EU ODIAR O QUERER (NÃO)
Os deuses dessem	DEUSES DAR
Que ininterrupta minha vida fosse	ININTERRUPTO VIDA MEU FOSSAR
Uma planície sem relevos, indo	RELEVOS PLANÍCIE IR
Até ao fim.	ATÉ FIM
A glória embora eu nunca haurisse, ou nunca	NUNCA GLÓRIA EMBORA EU OU NUNCA NÃO
Amor ou justa estima dessem-me outros,	AMOR OU JUSTO ESTIMA OUTROS ELES DAR
Basta que a vida seja só a vida	SÓ VIDA VIDA
E que eu a viva	EU VIVA
Leve sonho, vais no chão	LEVE SONHO CHÃO TU IR
Leve sonho, vais no chão	LEVE SONHO CHÃO TU IR
A andares sem teres ser.	ANDARES
És como o meu coração	COMO CORAÇÃO MEU
Que sente sem nada ter.	NADA TER SENTIR
Não me indigno porque a indignação é para os fortes; não me resigno, porque a resignação é para os nobres; não me calo, porque o silêncio é para os grandes	EU PORQUE INDIGNAÇÃO PORQUE RESIGNAÇÃO EU PORQUE SILÊNCIO FORTES CALAR INDIGNAR NOBRES CALAR GRANDE RESIGNAR SER (NÃO)
E eu não sou forte, nem nobre, nem grande	EU FORTE NOBRE NEM GRANDE NEM (NÃO)
Sofro e sonho	EU SOFRER EU SONHAR
Queixo-me porque sou fraco e, porque sou artista, entretenho-me a tecer musicais as minhas queixas e a arranjar meus sonhos conforme me parece melhor à minha ideia de os achar belos.	QUEIXO PORQUE PORQUE TECER EU EU QUEIXAS FRACO ARTE MEU ENTRETER MUSICAR SER CONFORME ARRANJAR EU MEU IDEIA MEU SONHOS ACHAR MELHOR BELOS
Só lamento o não ser criança, para que pudesse crer nos meus sonhos, o não ser doido para que pudesse afastar da alma de todos os que me cercam, [...]	SÓ QUE TODO CRIANÇA MEU OS OS OS DOIDO ALMA OS CRER AFASTAR CERCAR (NÃO)
Tomar o sonho por real, viver demasiado os sonhos deu-me este espinho à rosa falsa de minha sonhada vida: que nem os sonhos me agradam, porque lhes acho defeitos.	SONHOS DEMASIADO EU ESTE MEU TOMAR VIVER SONHO REAL ESPINHO ROSA VIDA DAR DAR NEM PORQUE SONHOS EU LHES ACHAR DEFEITOS AGRADAR
Nem com pintar esse vidro de sombras coloridas me oculto o rumor da vida alheia ao meu olhá-la, do outro lado.	NEM EU OCULTAR ESSE ALHEIO MEU OUTRO PINTAR SOMBRAS VIDRO RUMOR VIDA OLHAR LADO COLORIR
Ditosos os fazedores de sistemas pessimistas	FAZEDORES DITOSOS SISTEMA PESSIMISTAS
Não só se amparam de ter feito qualquer coisa, como também se alegram do explicado, e se incluem na dor universal.	NÃO SÓ COMO TAMBÉM QUALQUER FAZER COISA ELES ALEGRAR EXPLICAR FAZER AMPARAR UNIVERSAL DOR ELES INCLUIR
Eu não me queixo pelo mundo	EU EU MUNDO QUEIXAR (NÃO)
Não protesto em nome do universo	PROTESTO NOME UNIVERSO (NÃO)
Não sou pessimista	PESSIMISTA
Sofro e queixo-me, mas não sei se o que há de mal é o sofrimento nem sei se é humano sofrer	EU SOFRER EU MAS MAL O SOFRIMENTO HAVER NÃO_SABER NEM EU SABER HUMANO SOFRER {NÃO}(headshake)
Que me importa saber se isso é certo ou não?	{SE ISSO EU IMPORTAR CERTO OU SABER}(q)
Eu sofro, não sei se merecidamente	MERECIDO EU SOFRER NÃO_SABER NÃO_SABER {NÃO}(headshake)
(Corça perseguida.)	MULHER CORÇO PERSEGUIR
Eu não sou pessimista, sou triste.	EU PESSIMISTA TRISTE (NÃO)
ANIVERSÁRIO	ANIVERSÁRIO
No tempo em que festejavam o dia dos meus anos, 	TEMPO DIA ANOS MEU FESTEJAR
Eu era feliz e ninguém estava morto	EU FELIZ NINGUÉM
Na casa antiga, até eu fazer anos era uma tradição de há séculos, 	EU TRADIÇÃO CASA ANOS SÉCULOS FAZER HAVER
E a alegria de todos, e a minha, estava certa com uma religião qualquer	TODO ALEGRIA MEU QUALQUER IGREJA CERTO
No tempo em que festejavam o dia dos meus anos, 	TEMPO DIA ANOS MEU FESTEJAR
Eu tinha a grande saúde de não perceber coisa nenhuma, 	EU NENHUMA SAÚDE COISA TER PERCEBER (NÃO)
De ser inteligente para entre a família, 	FAMÍLIA
E de não ter as esperanças que os outros tinham por mim	OUTROS ESPERANÇAS EU TER NÃO_TER {NÃO}(headshake)
Quando vim a ter esperanças, já não sabia ter esperanças	QUANDO JÁ ESPERANÇAS ESPERANÇAS TER TER EU VIR (NÃO)
Quando vim a olhar para a vida, perdera o sentido da vida.	QUANDO SENTIDO VIDA VIDA OLHAR EU VIR PERDER
Sim, o que fui de suposto a mim mesmo,	MESMO O SUPOSTO EU SIM IR
O que fui de coração e parentesco,	O CORAÇÃO PARENTESCO IR
O que fui de serões de meia-província,	O SERÕES MULHER MEIA PROVÍNCIA IR
O que fui de amarem-me e eu ser menino	O EU AMAR IR EU MENINO
O que fui — ai, meu Deus!, o que só hoje sei que fui	SÓ QUE O DEUS AI MEU O HOJE IR SABER
A que distância	DISTÂNCIA
(Nem o acho...) 	NEM EU ACHAR
O tempo em que festejavam o dia dos meus anos!	TEMPO DIA ANOS MEU FESTEJAR
O que eu sou hoje é como a humidade no corredor do fim da casa, 	HOJE O EU COMO HUMIDADE CORREDOR FIM CASA CASA
Pondo grelado nas paredes...	PAREDES GRELAR PÔR
O que eu sou hoje (e a casa dos que me amaram treme através das minhas lágrimas), 	ATRAVÉS QUE EU CASA TREMER MEU QUE AMAR LÁGRIMAS HOJE
O que eu sou hoje é terem vendido a casa.	HOJE O EU CASA VENDER
É terem morrido todos,	TODO MORRER
É estar eu sobrevivente a mim-mesmo como um fósforo frio...	MIM MESMO EU SOBREVIVENTE COMO FRIO FÓSFORO
No tempo em que festejavam o dia dos meus anos	TEMPO DIA ANOS MEU FESTEJAR
Que meu amor, como uma pessoa, esse tempo!	MEU ESSE AMOR COMO PESSOA TEMPO
Desejo físico da alma de se encontrar ali outra vez, 	ALI DESEJO ALMA OUTRA VEZ ENCONTRAR
Por uma viagem metafísica e carnal,	CARNAL VIAGEM METAFÍSICO
Com uma dualidade de eu para mim...	DUALIDADE EU EU
Comer o passado como pão de fome, sem tempo de manteiga nos dentes!	COMO PASSADO PÃO TEMPO FOME MANTEIGA DENTES COMER
Vejo tudo outra vez com uma nitidez que me cega para o que há aqui	AQUI TUDO NITIDEZ EU O VER CEGAR HAVER
A mesa posta com mais lugares, com melhores desenhos na loiça, com mais copos,	MAIS MESA MAIS LOIÇA LUGARES MELHORES DESENHOS COPOS PÔR
O aparador com muitas coisas — doces, frutas, o resto na sombra debaixo do alçado —,	DEBAIXO APARADOR MULHER DE ALÇADO RESTO COISA DOCE SOMBRA MUITAS
As tias velhas, os primos diferentes, e tudo era por minha causa,	MULHER TIOS VELHAS PRIMOS DIFERENTE TUDO CAUSA MEU
No tempo em que festejavam o dia dos meus anos...	TEMPO DIA ANOS MEU FESTEJAR
Pára, meu coração!	CORAÇÃO MEU ELE PARAR
Não penses	TU PENSAR (NÃO)
Deixa o pensar na cabeça!	O CABEÇA PENSAR DEIXAR
Ó meu Deus, meu Deus, meu Deus!	Ó DEUS DEUS DEUS MEU MEU
Hoje já não faço anos.	HOJE JÁ ANOS EU FAZER (NÃO)
Duro.	DURO
Somam-se-me dias.	ELES SOMAR DIA
Serei velho quando o for.	VELHO QUANDO O IR
Mais nada.	MAIS NADA
Raiva de não ter trazido o passado roubado na algibeira!...	RAIVA PASSADO ALGIBEIRA TRAZER ROUBAR (NÃO)
O tempo em que festejavam o dia dos meus anos!...	TEMPO DIA ANOS MEU FESTEJAR
Sofro, Lídia, do medo do destino.	DT(L-Í-D-I-A) MEDO DESTINO SOFRER
A leve pedra que um momento ergue	MOMENTO PEDRA ERGUER
As lisas rodas do meu carro, aterra	LISAS RODAS CARRO MEU ELE ATERRAR
Meu coração.	CORAÇÃO MEU
Tudo quanto me ameace de mudar-me	EU MUDAR EU AMEAÇAR
Para melhor que seja, odeio e fujo.	MELHOR EU ODIAR EU FUGIR
Deixem-me os deuses minha vida sempre	SEMPRE EU DEUSES MEU VIDA DEIXAR
Sem renovar	RENOVAR
Meus dias, mas que um passe e outro passe	MEU OUTRO MAS DIA PASSE PASSE
Ficando eu sempre quase o mesmo, indo	QUASE EU IR SEMPRE FICAR
Para a velhice como um dia entra	COMO VELHICE DIA ENTRAR
No anoitecer.	ANOITECER
Vai alta a nuvem que passa.	ALTO NUVEM IR PASSADO
Vai alta a nuvem que passa.	ALTO NUVEM IR PASSADO
Vai alto o meu pensamento	ALTO PENSAMENTO MEU ELE IR
Que é escravo da tua graça	GRAÇA TEU
Como a nuvem o é do vento.	COMO O NUVEM VENTO
Passa uma nuvem pelo sol	NUVEM ELE PASSADO
Passa uma pena por quem vê.	PENA PASSADO VER
A alma é como um girassol:	COMO ALMA GIRASSOL
Vira-se ao que não está ao pé.	PÉ VIRAR (NÃO)
Passou a nuvem; o sol volta.	VOLTA NUVEM ELE PASSADO
A alegria girassolou.	ALEGRIA GIRASSOLOU
Pendão latente de revolta,	PENDÃO LATENTE REVOLTA
Que hora maligna te enrolou?	{MALIGNO HORA TU ENROLAR}(q)
Bem sei que há ilhas lá ao sul de tudo 	BEM HAVER ILHAS TUDO SUL EU SABER
Onde há paisagens que não pode haver.	ONDE MULHER PAISAGEM HAVER HAVER PODER (NÃO)
Tão belas que são como que o veludo 	TÃO BELAS VELUDO COMO QUE
Do tecido que o mundo pode ser.	MUNDO TECIDO NÃO ESTAR CERTO PODER
Bem sei	BEM EU SABER
Vegetações olhando o mar,	VEGETAÇÕES MAR OLHAR
Coral, encostas, tudo o que é a vida	CORAL VIDA
Tornado amor e luz, o que o sonhar	AMOR TORNAR LUZ O O SONHAR
Dá à imaginação anoitecida.	IMAGINAÇÃO ELE DAR DAR
Bem sei	BEM EU SABER
Vejo isso tudo	TUDO ISSO EU VER
O mesmo vento 	MESMO VENTO
Que ali agita os ramos em torpor	ALI RAMOS TORPOR ELE AGITAR
Passa de leve por meu pensamento 	LEVE PENSAMENTO MEU ELE PASSADO
E o pensamento julga que é amor.	PENSAMENTO JULGAR AMOR
Sei, sim, é belo, é luz, é impossível, 	SIM LUZ BELO IMPOSSÍVEL SABER SER
Existe, dorme, tem a cor e o fim,	COR FIM ELE TER DORMIR EXISTIR
E, ainda que não haja, é tão visível 	TÃO AINDA QUE HAVER VISÍVEL (NÃO)
Que é uma parte natural de mim.	NATURAL EU PARTE
Sei tudo, sim, sei tudo	SIM TUDO SABER TUDO SABER
E sei também	TAMBÉM EU SABER
Que não é lá que há isso que lá está	LÁ QUE HAVER ISSO LÁ (NÃO)
Sei qual é a luz que essa paisagem tem	LUZ ESSE PAISAGEM QUAL SABER TER
E qual o mar por que se vai para lá.	LÁ QUAL MAR IR
MANEIRA DE BEM SONHAR	MANEIRA BEM SONHAR
Cuidarás primeiro em nada respeitar, em nada crer, em nada (...)	PRIMEIRO TU CUIDAR NADA NADA NADA CRER RESPEITAR
Guardarás da tua atitude ante o que não respeites, a vontade de respeitar alguma coisa; do teu desgosto ante o que não ames o desejo doloroso de amar alguém; do teu desprezo pela vida guardarás a ideia de que deve ser bom vivê-la e amá-la	GUARDAR DESPREZO TEU QUE ALGUM TEU GUARDAR GUARDAR GUARDAR GUARDAR GUARDAR DESGOSTO DESEJO GUARDAR IDEIA GUARDAR RESPEITAR AMAR DEVER RESPEITAR NÃO AMAR NÃO AMAR (NÃO)
E assim terás construído os alicerces do edifício dos teus sonhos.	ASSIM TU TER SONHOS ALICERCES EDIFÍCIO TEU CONSTRUIR
Repara bem que a obra que te propões fazer é no mais alto de tudo	BEM OBRA MAIS REPARAR TUDO FAZER PROPOR
Sonhar é encontrarmo-nos	SONHAR NÓS ENCONTRAR
Vais ser o Colombo da tua alma	TU IR COLOMBO ALMA TEU
Vais buscar as suas paisagens	TU IR MULHER PAISAGEM SEU BUSCAR
Cuida bem pois em que o teu rumo seja certo e não possam errar os teus instrumentos.	BEM POIS RUMO TEU CUIDAR CERTO INSTRUMENTOS TEU ERRAR ELES PODER (NÃO)
A arte de sonhar é difícil porque é uma arte de passividade, onde o que é de esforço é na concentração da ausência de esforço	PORQUE ARTE DIFÍCIL O CONCENTRAÇÃO AUSÊNCIA ESFORÇO SONHAR SER SER
A arte de dormir se a houvesse, deveria ser de qualquer forma parecida com esta.	SE ARTE A HAVER QUALQUER FORMA ESTE DEVER DORMIR PARECER
Repara bem: a arte de sonhar não é a arte de orientar os sonhos	BEM REPARAR ARTE ARTE SONHOS SONHAR ORIENTAR (NÃO)
Orientar é agir	ORIENTAR AGIR
O sonhador verdadeiro entrega-se a si próprio, deixa-se possuir por si próprio.	SONHADOR SI PRÓPRIO PRÓPRIO SI DEIXAR POSSUIR ENTREGAR
Foge a todas as provocações materiais	MATERIAIS TODAS AS MULHER PROVOCAÇÃO FUGIR
Há no início a tentação de te masturbares	INÍCIO TENTAÇÃO TU HAVER HAVER
Há a do álcool, a do ópio, a do (...)	ÁLCOOL A ÓPIO HAVER
Tudo isso é esforço e procura	TUDO ISSO ESFORÇO PROCURA
Para seres um bom sonhador, tens de não ser senão sonhador	SENÃO BOM SONHADOR TER SONHADOR (NÃO)
Ópio e morfina compram-se nas farmácias — como, pensando nisto queres poder sonhar através deles	ÓPIO ATRAVÉS COMO MORFINA QUERER FARMÁCIAS ELE ELES ELES PENSAR COMPRAR SONHAR PODER
Masturbação é uma coisa física — como queres tu que (...)	MASTURBAÇÃO COISA TU QUERER
Que te sonhes masturbando-te, vá; que em sonhar talvez fumando ópio, recebendo morfina te embriagues da ideia do ópio (...) da morfina dos sonhos — não há senão que elogiar-te por isso: estás no teu papel áureo de sonhador perfeito.	SENÃO QUE QUE ÓPIO TEU SONHAR MORFINA MASTURBAR TU SONHAR SONHAR SONHAR SONHAR SONHOS SONHADOR EMBRIAGAR PAPEL PERFAZER HAVER (NÃO)
Julga-te sempre mais triste e mais infeliz do que és	SEMPRE ELE JULGAR TRISTE MAIS MAIS INFELIZ DO QUE
Isso não faz mal	MAL ISSO FAZER (NÃO)
E mesmo, por ilusão, um pouco escadas para o sonho.	MESMO UM POUCO ILUSÃO ESCADAS SONHO
BICARBONATO DE SODA	BICARBONATO SODA
Súbita, uma angústia	SÚBITA ANGÚSTIA
Ah, que angústia, que náusea do estômago à alma	AH ANGÚSTIA NÁUSEA ESTÔMAGO ALMA
Que amigos que tenho tido	AMIGO TER
Que vazias de tudo as cidades que tenho percorrido	VAZIAS TUDO CIDADES PERCORRER
Que esterco metafísico os meus propósitos todos!	ESTERCO METAFÍSICO PROPÓSITOS MEU TODO
Uma angústia, 	ANGÚSTIA
Uma desconsolação da epiderme da alma, 	DESCONSOLAÇÃO EPIDERME ALMA
Um deixar cair os braços ao sol-pôr do esforço	BRAÇOS SOL PÔR ESFORÇO CAIR DEIXAR
Renego	EU RENEGAR
Renego tudo	TUDO EU RENEGAR
Renego mais do que tudo	MAIS DO QUE TUDO EU RENEGAR
Renego a gládio e fim todos os deuses e a negação deles.	TODO FIM GLÁDIO DEUSES NEGAÇÃO ELES RENEGAR
Mas o que é que me falta, que o sinto faltar-me no estômago e na circulação do sangue	MAS O O SENTIR EU FALTAR EU ESTÔMAGO CIRCULAÇÃO SANGUE FALTAR
Que atordoamento vazio me esfalfa no cérebro?	{ATORDOAMENTO EU CÉREBRO}(q)
Devo tomar qualquer coisa ou suicidar-me?	{QUALQUER COISA TOMAR EU DEVER OU EU SUICIDAR}(q)
Não: vou existir	EXISTIR
Arre	ARRE
Vou existir.	EXISTIR
E-xis-tir...	E XIS TIR
E--xis--tir...	TIR
Meu Deus	DEUS MEU
Que budismo me esfria no sangue	BUDISMO EU SANGUE ESFRIAR
Renunciar de portas todas abertas, 	TODO PORTAS ABERTAS RENUNCIAR
Perante a paisagem todas as paisagens, 	PAISAGEM TODAS AS MULHER PAISAGEM
Sem esperança, em liberdade, 	ESPERANÇA
Sem nexo, 	NEXO
Acidente da inconsequência da superfície das coisas, 	ACIDENTE COISA SUPERFÍCIE
Monótono mas dorminhoco, 	MONÓTONO DORMINHOCO
E que brisas quando as portas e as janelas estão todas abertas	BRISAS QUANDO PORTAS JANELAS TODO ABERTAS
Que verão agradável dos outros!	VERÃO AGRADÁVEL OUTRO
Dêem-me de beber, que não tenho sede!	EU SEDE DAR BEBER NÃO_TER {NÃO}(headshake)
Sê o dono de ti	DONO TU
Sem fechares os olhos.	OLHO
Na dura mão aperta	DURO MÃO ELE APERTAR
Com um tacto encavado	TACTO ENCAVAR
O mundo exterior	MUNDO EXTERIOR
Contra a palma sentindo	PALMA SENTIR
Outra cousa que a palma.	OUTRO COUSA PALMA
Ambos à beira do poço	BEIRA AMBOS POÇO
Ambos à beira do poço	BEIRA AMBOS POÇO
Achamos que é muito fundo.	NÓS ACHAR FUNDO
Deita-se a pedra, e o que eu ouço	PEDRA ELE DEITAR O EU OUVIR
É teu olhar, que é meu mundo.	OLHAR MEU MUNDO TEU
É brando o dia, brando o vento.	BRANDIR DIA VENTO EU BRANDIR
É brando o sol e brando o céu.	BRANDO CÉU EU BRANDIR
Assim fosse meu pensamento!	ASSIM PENSAMENTO MEU EU FOSSAR
Assim fosse eu, assim fosse eu!	ASSIM EU ASSIM EU FOSSAR FOSSAR
Mas entre mim e as brandas glórias	MAS EU BRANDAS GLÓRIAS
Deste céu limpo e este ar sem mim	ESTE CÉU LIMPO AR EU
Intervêm sonhos e memórias...	SONHOS MEMÓRIAS ELES INTERVIR
Ser eu assim, ser eu assim!	ASSIM EU EU ASSIM
Ah, o mundo é quanto nós trazemos.	QUANTO AH MUNDO NÓS TRAZER
Existe tudo quanto existo.	EU EXISTIR EXISTIR
Há porque vemos.	PORQUE HAVER
E tudo é isto, tudo é isto!	TUDO ELE TUDO ISTO
Aspectos — Prefácio geral	ASPECTOS PREFÁCIO
1	1
Alberto Caeiro (1889 - 1915) — O Guardador de Rebanhos e outros poemas e fragmentos	DT(A-L-B-E-R-T-O) DT(C-A-E-I-R-O) OUTRO 1889 1915 O GUARDADOR REBANHOS POEMA FRAGMENTO
2	2
Ricardo Reis: Odes	DT(R-I-C-A-R-D-O) DT(R-E-I-S) ODES
3	3
António Mora: Alberto Caeiro e a Renovação do paganismo	DT(A-N-T-Ó-N-I-O) DT(M-O-R-A) DT(A-L-B-E-R-T-O) DT(C-A-E-I-R-O) RENOVAÇÃO PAGANISMO
4	4
Álvaro de Campos: Arco de Triunfo	DT(Á-L-V-A-R-O) DT(C-A-M-P-O-S) ARCO TRIUNFO
Poemas	POEMAS
5	5
Vicente Guedes: Livro do Desassossego	DT(V-I-C-E-N-T-E) DT(G-U-E-D-E-S) LIVRO DO DESASSOSSEGO
L	L
do D.	D.
Para sentir a delícia e o terror da velocidade não preciso de automóveis velozes nem de comboios expressos	PRECISO VELOZES EXPRESSOS TERROR VELOCIDADE DELÍCIA AUTOMÓVEIS NEM COMBOIOS SENTIR (NÃO)
Basta-me um carro eléctrico e a espantosa faculdade de abstracção que tenho e cultivo.	ELÉCTRICO EU CARRO BASTAR FACULDADE ABSTRACÇÃO TER
Num carro eléctrico em marcha eu sei, por uma atitude constante e instantânea de análise, separar a ideia de carro da ideia de velocidade, separá-las de todo, até serem coisas-reais diversas	ELÉCTRICO CONSTANTE EU CARRO MARCHA ATITUDE SABER INSTANTÂNEO IDEIA IDEIA CARRO ANÁLISE COISAS-REAIS DIVERSAS VELOCIDADE SEPARAR
Depois, posso sentir-me seguindo não dentro do carro mas dentro da mera-velocidade dele	DEPOIS CARRO EU SEGUIR MAS MULHER MERA VELOCIDADE DELE SENTIR PODER (NÃO)
E, cansado, se acaso quero o delírio da velocidade enorme, posso transportar a ideia para o Puro imitar da velocidade e a meu bom prazer aumentá-la ou diminuí-la, alargá-la para além de todas as velocidades possíveis de veículos comboios.	ACASO CANSAR DELÍRIO ENORME IDEIA PURO VELOCIDADE QUERER PODER IMITAR TRANSPORTAR PRAZER BOM MEU AUMENTAR ALARGAR VELOCIDADES TODAS AS POSSÍVEIS VEÍCULOS COMBOIOS DIMINUIR
Correr riscos reais, além de me apavorar não é por medo que eu sinta excessivamente — perturba-me a perfeita atenção às minhas sensações, o que me incomoda e me despersonaliza.	EXCESSIVO O MEDO EU ME MEU EU EU RISCOS ATENÇÃO MULHER SENSAÇÃO PERFAZER PERTURBAR SENTIR INCOMODAR NÃO ESTAR CERTO NÃO EU DESPERSONALIZAR (NÃO)
Nunca vou para onde há risco	ONDE HAVER RISCO HAVER NUNCA NÃO
Tenho medo a tédio dos perigos.	MEDO TÉDIO PERIGOS EU TER
Um poente é um fenómeno intelectual.	POENTE INTELECTUAL FENÓMENO
Aquela senhora velha	AQUELE MULHER SENHOR VELHO
Aquela senhora velha	AQUELE MULHER SENHOR VELHO
Que fala com tão bom modo	TÃO BOM MODO FALAR
Parece ser uma abelha	ELE PARECER ABELHA
Que nos diz: Não incomodo.	NÓS DIZER INCOMODAR (NÃO)
Entre o luar e a folhagem,	LUAR FOLHAGEM
Entre o sossego e o arvoredo,	SOSSEGO ARVOREDO
Entre o ser noite e haver aragem	NOITE ARAGEM HAVER
Passa um segredo.	SEGREDO ELE PASSADO
Segue-o minha alma na passagem	O ALMA PASSAGEM MEU SEGUIR
Ténue lembrança ou saudade,	TÉNUE LEMBRANÇA OU SAUDADE
Princípio ou fim do que não foi,	PRINCÍPIO OU FIM DO QUE IR (NÃO)
Não tem lugar, não tem verdade,	LUGAR VERDADE ELE NÃO_TER NÃO_TER {NÃO}(headshake)
Atrai e dói.	ELE ATRAIR ELES DOER
Segue-o meu ser em liberdade.	O SEGUIR
Vazio encanto ébrio de si!	ÉBRIO SI ENCANTO VAZIAR
Tristeza ou alegria o traz?	{TRISTEZA OU ALEGRIA O TRAZER}(q)
O que sou dele a quem sorri?	O DELE SORRIR QUEM (NÃO)
Não é nem faz.	NÃO NEM ELE FAZER
Só de segui-lo me perdi.	SÓ EU PERDER SEGUIR
Bem sei que todas as mágoas	BEM TODAS AS MÁGOAS SABER
São como as mágoas que são	MÁGOAS
Parecidas com as águas	ÁGUAS PARECER
Que continuamente vão...	CONTINUAMENTE ELES IR
Quero, pois, ter guardada	POIS GUARDAR EU QUERER
Uma tristeza de mim	TRISTEZA EU
Que não possa ser levada	LEVAR EU PODER (NÃO)
